pos.TSS	pos.TES	nb.TSS	nb.TES	RNA-seq	coverage
Pa_1_410.G	NA	NA	NA	NA	NA	NA
Pa_1_400.G	NA	NA	NA	NA	NA	NA
Pa_1_390.G	NA	NA	NA	NA	NA	NA
Pa_1_380.G	205830	207337	1	1	ERR2224046	100
Pa_1_370.G	NA	NA	NA	NA	NA	NA
Pa_1_360.G	NA	NA	NA	NA	NA	NA
Pa_1_350.G	NA	NA	NA	NA	NA	NA
Pa_1_340.G	214060	212424	1	1	SRR6960207	75
Pa_1_330.G	216326;216304;216298	214474;214407;214482	3	3	SRR3197711;SRR6960219;SRR6960221	25
Pa_1_320.G	217982;218049;218070;218290;217980;217979;218004;217961	216587;216562;216532;216562;216562;216562;216560;216562	8	4	SRR6960209;SRR6960214;SRR6960215;SRR6960217;SRR6960219;SRR6960221;SRR6960223;SRR6960225	100
Pa_1_310.G	222265	219920	1	1	SRR6960215	75
Pa_1_300.G	NA	NA	NA	NA	NA	NA
Pa_1_295.G	NA	NA	NA	NA	NA	NA
Pa_1_292.G	NA	NA	NA	NA	NA	NA
Pa_1_290.G	229005	230383	1	1	SRR3197710	500
Pa_1_280.G	230670	233125	1	1	ERR2224048	25
Pa_1_278.G	234697	233106	1	1	SRR6960219	75
Pa_1_275.G	236143	234963	1	1	SRR6960214	50
Pa_1_270.G	238172	236616	1	1	SRR3197701	25
Pa_1_260.G	239674	241084	1	1	SRR3197700	75
Pa_1_250.G	NA	NA	NA	NA	NA	NA
Pa_1_240.G	244744	247754	1	1	ERR2224051	25
Pa_1_230.G	257950;257829;257956;257950;257811;257409;257359;257901;257804;257878;257932	254793;254803;254805;254792;254793;254801;254801;254808;254810;254806;254806	10	8	SRR3197702;SRR3197704;SRR3197705;SRR3197711;SRR6960209;SRR6960214;SRR6960216;SRR6960217;SRR6960219;SRR6960221;SRR6960222	10
Pa_1_220.G	261908	258984	1	1	ERR2224047	25
Pa_1_210.G	262162;262162	266844;266859	1	2	ERR2224050;ERR2224051	25
Pa_1_206.G	NA	NA	NA	NA	NA	NA
Pa_1_205.G	NA	NA	NA	NA	NA	NA
Pa_1_200.G	276074	275333	1	1	ERR2224051	7500
Pa_1_190.G	276938	278420	1	1	ERR2224048	10
Pa_1_180.G	278558	280644	1	1	SRR6960221	25
Pa_1_175.G	NA	NA	NA	NA	NA	NA
Pa_1_170.G	NA	NA	NA	NA	NA	NA
Pa_1_160.G	286402;286377	285381;285342	2	2	ERR2224049;SRR6960214	10
Pa_1_150.G	NA	NA	NA	NA	NA	NA
Pa_1_145.G	NA	NA	NA	NA	NA	NA
Pa_1_140.G	294985	291095	1	1	SRR3197701	10
Pa_1_130.G	296042;296045	295280;295272	2	2	SRR6960213;SRR6960218	5000
Pa_1_115.G	296275	299510	1	1	SRR6960222	10
Pa_1_120.G	299657;299648;299618;299632	301434;301438;301438;301426	4	3	SRR3197704;SRR3197709;SRR3197710;SRR3197711	25
Pa_1_110.G	NA	NA	NA	NA	NA	NA
Pa_1_90.G	310034	308786	1	1	ERR2224049	50
Pa_1_85.G	NA	NA	NA	NA	NA	NA
Pa_1_80.G	312937;312868	311842;311876	2	2	SRR3197710;SRR3197711	10
Pa_1_75.G	NA	NA	NA	NA	NA	NA
Pa_1_70.G	318945;319014;318880;318994	319995;319999;319976;319998	4	4	SRR6960208;SRR6960215;SRR6960219;SRR6960221	2500
Pa_1_60.G	NA	NA	NA	NA	NA	NA
Pa_1_58.G	NA	NA	NA	NA	NA	NA
Pa_1_50.G	NA	NA	NA	NA	NA	NA
Pa_1_45.G	NA	NA	NA	NA	NA	NA
Pa_1_40.G	333235;333250;333281	332045;332045;332046	3	2	SRR3197705;SRR3197708;SRR3197709	250
Pa_1_30.G	335615	333583	1	1	SRR6960207	75
Pa_1_20.G	NA	NA	NA	NA	NA	NA
Pa_1_10.G	NA	NA	NA	NA	NA	NA
Pa_1_1040.G	357906	360787	1	1	ERR2224047	100
Pa_1_1045.G	NA	NA	NA	NA	NA	NA
Pa_1_1050.G	NA	NA	NA	NA	NA	NA
Pa_1_1060.G	NA	NA	NA	NA	NA	NA
Pa_1_1070.G	370384	367524	1	1	ERR2224047	25
Pa_1_1080.G	NA	NA	NA	NA	NA	NA
Pa_1_1090.G	NA	NA	NA	NA	NA	NA
Pa_1_1093.G	NA	NA	NA	NA	NA	NA
Pa_1_1100.G	NA	NA	NA	NA	NA	NA
Pa_1_1110.G	NA	NA	NA	NA	NA	NA
Pa_1_1120.G	382345	381086	1	1	SRR3197709	100
Pa_1_1125.G	NA	NA	NA	NA	NA	NA
Pa_1_1130.G	NA	NA	NA	NA	NA	NA
Pa_1_1140.G	386913;386864;386884	385293;385246;385250	3	3	ERR2224050;SRR3197704;SRR3197705	50
Pa_1_1150.G	NA	NA	NA	NA	NA	NA
Pa_1_1160.G	392665;392722;392407	389459;389650;389650	3	2	SRR3197710;SRR3197711;SRR6960217	10
Pa_1_1165.G	392941;393005;392988;392951;392962;392930;392964;392975;392963	393965;393911;394072;394293;393896;394465;394289;393883;394278	9	9	SRR3197707;SRR6960207;SRR6960208;SRR6960212;SRR6960214;SRR6960215;SRR6960218;SRR6960221;SRR6960225	100
Pa_1_1175.G	394415	395521	1	1	ERR2224051	75
Pa_1_1180.G	395527	396506	1	1	ERR2224048	250
Pa_1_1190.G	400124;400062	398548;398536	2	2	SRR6960213;SRR6960223	10
Pa_1_1191.G	NA	NA	NA	NA	NA	NA
Pa_1_1194.G	NA	NA	NA	NA	NA	NA
Pa_1_1197.G	406179	404764	1	1	SRR3197703	50
Pa_1_1200.G	NA	NA	NA	NA	NA	NA
Pa_1_1210.G	410984;410984	409570;409641	1	2	SRR6960212;SRR6960215	250
Pa_1_1220.G	NA	NA	NA	NA	NA	NA
Pa_1_1230.G	415732	416493	1	1	ERR2224051	7500
Pa_1_1240.G	417872;417953;418141;417942;417914;418126	416520;416536;416565;416562;416530;416549	6	6	SRR3197709;SRR6960209;SRR6960212;SRR6960219;SRR6960221;SRR6960225	100
Pa_1_1250.G	420708;420702;420688;420742;420694;420726;420698	419072;419065;418909;419068;419065;419091;419073	7	6	SRR3197710;SRR6960209;SRR6960214;SRR6960217;SRR6960219;SRR6960221;SRR6960222	500
Pa_1_1260.G	421106;422324	424823;424813	2	2	SRR3197710;SRR3197711	100
Pa_1_1270.G	425784;425706;425748	424537;424537;424521	3	2	SRR6960211;SRR6960214;SRR6960220	5000
Pa_1_1280.G	429303;429060;428915;428868;428887;428864	426567;426536;426522;426522;426545;426522	6	4	SRR3197710;SRR3197711;SRR6960209;SRR6960218;SRR6960219;SRR6960221	10
Pa_1_1290.G	431064;431064;431064;431063;431064;431064;431106;431117;431101	432163;432187;432314;432148;432186;432165;432162;432175;432166	5	9	SRR3197702;SRR3197704;SRR3197705;SRR3197706;SRR3197708;SRR3197709;SRR6960207;SRR6960213;SRR6960218	2500
Pa_1_1295.G	NA	NA	NA	NA	NA	NA
Pa_1_1300.G	437130	434992	1	1	SRR3197710	100
Pa_1_1310.G	439295	437446	1	1	ERR2224046	100
Pa_1_1320.G	442809;442807;442807;442807	441969;441976;441975;441968	2	4	SRR6960211;SRR6960214;SRR6960223;SRR6960225	250
Pa_1_1330.G	443701;443856	446420;446574	2	2	ERR2224050;SRR6960214	100
Pa_1_1340.G	450377;450302	446708;446707	2	2	ERR2224050;ERR2224051	75
Pa_1_1350.G	451678;451730	450639;450578	2	2	SRR3197710;SRR3197711	100
Pa_1_1360.G	NA	NA	NA	NA	NA	NA
Pa_1_1370.G	460542;459346	455739;455731	2	2	SRR3197705;SRR6960225	10
Pa_1_1380.G	462247;462299;461589;462290;462239;462287	463567;463586;463587;463583;463587;463587	6	4	ERR2224050;SRR3197702;SRR3197704;SRR3197705;SRR3197708;SRR3197709	500
Pa_1_1390.G	464963;464970;464949;465029;464970	463684;463683;463687;463683;463683	4	3	SRR3197702;SRR3197704;SRR3197705;SRR3197708;SRR3197709	1000
Pa_1_1395.G	NA	NA	NA	NA	NA	NA
Pa_1_1400.G	471672;471312	469054;469070	2	2	SRR6960209;SRR6960219	25
Pa_1_1410.G	474362;474343;474271;474268;474284	471696;471562;471412;471599;471573	5	5	SRR3197710;SRR3197711;SRR6960209;SRR6960219;SRR6960221	10
Pa_1_1420.G	474696	477102	1	1	ERR2224047	25
Pa_1_1430.G	NA	NA	NA	NA	NA	NA
Pa_1_1440.G	478833	482017	1	1	ERR2224047	100
Pa_1_1442.G	NA	NA	NA	NA	NA	NA
Pa_1_1444.G	NA	NA	NA	NA	NA	NA
Pa_1_1450.G	493537;493514	494908;494822	2	2	SRR6960219;SRR6960221	50
Pa_1_1455.G	NA	NA	NA	NA	NA	NA
Pa_1_1460.G	498413;498393;498409;498418	497309;497372;497288;497374	4	4	SRR6960213;SRR6960218;SRR6960219;SRR6960221	75
Pa_1_1470.G	NA	NA	NA	NA	NA	NA
Pa_1_1480.G	501788;501738	504630;504632	2	2	SRR6960212;SRR6960223	1000
Pa_1_1490.G	506739;506739	505149;505215	1	2	SRR6960219;SRR6960221	1000
Pa_1_1500.G	511547	509633	1	1	ERR2224050	250
Pa_1_1510.G	513634	511726	1	1	SRR3197701	10
Pa_1_1530.G	516423	513978	1	1	ERR2224050	750
Pa_1_1540.G	518555;518518;518483;518299;518499;518458;518357;518484	516997;516882;516885;516880;516894;516882;516919;516888	8	7	ERR2224051;SRR3197710;SRR6960209;SRR6960214;SRR6960217;SRR6960219;SRR6960221;SRR6960222	250
Pa_1_1550.G	518835	521616	1	1	SRR3197710	75
Pa_1_1560.G	526284;526283;526273;526340;526502;526196	521981;521977;521958;521967;521976;521976	6	5	ERR2224046;ERR2224049;ERR2224050;ERR2224051;SRR3197710;SRR6960217	10
Pa_1_1565.G	NA	NA	NA	NA	NA	NA
Pa_1_1570.G	530964	528837	1	1	ERR2224048	100
Pa_1_1580.G	531226;531283	535505;535560	2	2	ERR2224046;SRR6960219	25
Pa_1_1590.G	536494	535560	1	1	SRR3197705	50
Pa_1_1600.G	538810	537326	1	1	ERR2224051	75
Pa_1_1610.G	538973;538941	540590;541210	2	2	ERR2224047;ERR2224051	25
Pa_1_1620.G	555239	552615	1	1	ERR2224051	100
Pa_1_1630.G	556991;556947	555373;555358	2	2	ERR2224050;SRR6960213	100
Pa_1_1640.G	557190;557210	559542;559520	2	2	ERR2224046;ERR2224051	100
Pa_1_1650.G	560118	562723	1	1	ERR2224050	25
Pa_1_1660.G	562701	564289	1	1	ERR2224047	25
Pa_1_1670.G	564459;564487	567713;567687	2	2	ERR2224051;SRR3197701	25
Pa_1_1680.G	NA	NA	NA	NA	NA	NA
Pa_1_1690.G	572113;572148;572118	570297;570291;570296	3	3	SRR3197704;SRR3197710;SRR3197711	250
Pa_1_1700.G	NA	NA	NA	NA	NA	NA
Pa_1_1710.G	578608	575506	1	1	SRR3197704	50
Pa_1_1720.G	NA	NA	NA	NA	NA	NA
Pa_1_1730.G	583411	584201	1	1	ERR2224048	100
Pa_1_1740.G	587857;587806;587615	584241;584251;584283	3	3	ERR2224048;ERR2224049;SRR6960221	10
Pa_1_1750.G	588060;588146;588097;588097;588152	589861;589815;589785;589788;589785	4	4	ERR2224051;SRR6960207;SRR6960213;SRR6960217;SRR6960218	100
Pa_1_1760.G	593182	590363	1	1	SRR6960217	50
Pa_1_1770.G	595010;594859	593681;593512	2	2	ERR2224051;SRR6960213	500
Pa_1_1780.G	596263;596228;596319;596285	598980;598994;599002;598939	4	4	SRR3197704;SRR3197705;SRR3197708;SRR3197709	250
Pa_1_1790.G	600622;599800;600796	602815;603251;603331	3	3	ERR2224048;SRR6960221;SRR6960225	250
Pa_1_1800.G	605653	603372	1	1	ERR2224050	250
Pa_1_1810.G	609024	607033	1	1	SRR3197708	10
Pa_1_1820.G	613919	610221	1	1	ERR2224051	250
Pa_1_1825.G	618871	615348	1	1	ERR2224046	25
Pa_1_1828.G	NA	NA	NA	NA	NA	NA
Pa_1_1830.G	624447;624498;624537	627441;627442;627424	3	3	SRR6960214;SRR6960217;SRR6960222	250
Pa_1_1831.G	NA	NA	NA	NA	NA	NA
Pa_1_1832.G	NA	NA	NA	NA	NA	NA
Pa_1_1834.G	NA	NA	NA	NA	NA	NA
Pa_1_1838.G	638431	633794	1	1	ERR2224051	25
Pa_1_1840.G	640880;640971;640895	638934;638942;638936	3	3	SRR6960209;SRR6960218;SRR6960219	10
Pa_1_1850.G	641199;641174;641200;641245	643025;642983;643011;642917	4	4	ERR2224050;SRR3197705;SRR3197709;SRR6960221	25
Pa_1_1860.G	645378;645670	650726;650723	2	2	ERR2224046;ERR2224047	50
Pa_1_1870.G	654370	651754	1	1	SRR6960219	25
Pa_1_1880.G	NA	NA	NA	NA	NA	NA
Pa_1_1890.G	661036;661084;661049	659811;659708;659694	3	3	SRR6960213;SRR6960217;SRR6960218	50
Pa_1_1900.G	664850	661389	1	1	SRR3197704	10
Pa_1_1910.G	667319	665183	1	1	ERR2224050	50
Pa_1_1920.G	667818;667880	669738;669666	2	2	ERR2224051;SRR3197710	100
Pa_1_1930.G	673216;673162;673139	669696;669649;669672	3	3	SRR3197710;SRR6960217;SRR6960219	50
Pa_1_1940.G	674098;674687;674596;674540;674596;674624;674529;674551;674609;674605;674553;674608	680533;680459;680493;680480;680555;680427;680491;680513;680437;680450;680505;680488	11	12	ERR2224048;SRR3197700;SRR3197702;SRR3197704;SRR3197705;SRR3197708;SRR3197709;SRR3197710;SRR3197711;SRR6960209;SRR6960217;SRR6960219	10
Pa_1_1950.G	685363;685339	682278;682275	2	2	SRR6960214;SRR6960215	100
Pa_1_1960.G	691134	688083	1	1	ERR2224047	10
Pa_1_1970.G	NA	NA	NA	NA	NA	NA
Pa_1_1980.G	NA	NA	NA	NA	NA	NA
Pa_1_1990.G	698977;698977;698975;698977	697472;697386;697385;697437	2	4	SRR3197701;SRR3197704;SRR3197705;SRR3197708	100
Pa_1_2000.G	701252;701080;701020;701864;701175;701828	707347;706685;707287;707401;707331;706730	6	6	SRR3197704;SRR3197705;SRR3197708;SRR3197709;SRR6960219;SRR6960221	10
Pa_1_2010.G	710326	707448	1	1	SRR6960217	750
Pa_1_2020.G	718881	722966	1	1	ERR2224048	50
Pa_1_2030.G	724267	723083	1	1	SRR6960207	10
Pa_1_2040.G	NA	NA	NA	NA	NA	NA
Pa_1_2045.G	729868	727534	1	1	ERR2224047	10
Pa_1_2050.G	732770	730046	1	1	ERR2224047	750
Pa_1_2060.G	735581	733982	1	1	ERR2224050	100
Pa_1_2070.G	739871	736388	1	1	ERR2224050	250
Pa_1_2085.G	741962;741920;741915;741960;741913;741903	743515;743514;743573;743517;743577;743575	6	6	SRR6960207;SRR6960208;SRR6960213;SRR6960215;SRR6960218;SRR6960225	25
Pa_1_2080.G	745323	743743	1	1	ERR2224051	100
Pa_1_2090.G	747769	745781	1	1	ERR2224050	25
Pa_1_2100.G	750296	747945	1	1	ERR2224050	100
Pa_1_2110.G	752147;752203;752169;752137;752139;752231;752193;752245;752240	750781;750769;750869;750682;750723;750786;750870;750863;750789	9	9	SRR6960208;SRR6960210;SRR6960212;SRR6960215;SRR6960216;SRR6960217;SRR6960222;SRR6960223;SRR6960225	1000
Pa_1_2120.G	754282;754246;754216;754263	755621;755621;755639;755620	4	3	SRR6960209;SRR6960213;SRR6960218;SRR6960225	250
Pa_1_2130.G	755877;755876	760229;759992	2	2	ERR2224048;ERR2224050	75
Pa_1_2140.G	761998;762258;762172	768248;768255;768255	3	2	SRR3197709;SRR3197710;SRR6960219	10
Pa_1_2150.G	771053	768520	1	1	ERR2224050	750
Pa_1_2160.G	771218;771230;771210	772325;772306;772304	3	3	SRR6960207;SRR6960212;SRR6960225	75
Pa_1_2170.G	NA	NA	NA	NA	NA	NA
Pa_1_2180.G	NA	NA	NA	NA	NA	NA
Pa_1_2190.G	775375	776187	1	1	ERR2224050	2500
Pa_1_2200.G	776627;776609;776549	783345;783329;783312	3	3	SRR3197703;SRR3197704;SRR3197709	10
Pa_1_2205.G	785104	783482	1	1	SRR6960216	10
Pa_1_2210.G	785216	786673	1	1	ERR2224050	100
Pa_1_2220.G	788233;787632;788728;789306	791650;791657;791659;791655	4	4	SRR6960209;SRR6960219;SRR6960221;SRR6960223	50
Pa_1_2230.G	795462;795483;795459;795244;795481;795438;795427	792468;792487;792541;792587;792591;792592;792551	7	7	ERR2224047;ERR2224048;ERR2224049;SRR3197701;SRR6960209;SRR6960219;SRR6960221	10
Pa_1_2240.G	797542;797544	795612;795641	2	2	SRR6960210;SRR6960216	250
Pa_1_2243.G	797982	799722	1	1	SRR6960210	100
Pa_1_2248.G	NA	NA	NA	NA	NA	NA
Pa_1_2250.G	NA	NA	NA	NA	NA	NA
Pa_1_2260.G	807341	809232	1	1	SRR6960207	25
Pa_1_2270.G	810404;810408;810405;810404;810380;810385;810162;810559;810351;810395	809233;809207;809223;809282;809224;809186;809211;809184;809228;809184	9	9	SRR3197700;SRR3197701;SRR3197704;SRR3197705;SRR6960209;SRR6960213;SRR6960216;SRR6960218;SRR6960219;SRR6960221	25
Pa_1_2280.G	812705;812675;812649	810841;810930;810848	3	3	ERR2224048;ERR2224050;SRR3197711	250
Pa_1_2290.G	812923;812972;812975	814710;814477;815159	3	3	ERR2224050;SRR6960209;SRR6960219	25
Pa_1_2300.G	819560;819531;819553	816677;816694;816693	3	3	SRR6960215;SRR6960217;SRR6960222	75
Pa_1_2310.G	826327;826325	824232;824236	2	2	SRR3197700;SRR3197704	250
Pa_1_2320.G	829653	827558	1	1	ERR2224051	500
Pa_1_2330.G	829850	832933	1	1	SRR3197701	50
Pa_1_2340.G	836622;836554;836566;836678	839010;838965;839114;839507	4	4	ERR2224047;ERR2224048;ERR2224051;SRR3197704	100
Pa_1_2350.G	844863	842663	1	1	ERR2224048	100
Pa_1_2360.G	845589;845436	846733;846769	2	2	ERR2224051;SRR3197710	25
Pa_1_2370.G	849896;849851;849917;849937;849812	847173;847195;847144;847231;847178	5	5	SRR6960207;SRR6960209;SRR6960213;SRR6960218;SRR6960221	250
Pa_1_2380.G	851725	850363	1	1	ERR2224050	250
Pa_1_2390.G	852125	855254	1	1	ERR2224050	50
Pa_1_2400.G	NA	NA	NA	NA	NA	NA
Pa_1_2410.G	862620;862500;863139;862868;862474;863357	859807;859767;859800;859820;859805;859811	6	6	ERR2224046;SRR6960209;SRR6960213;SRR6960218;SRR6960219;SRR6960221	100
Pa_1_2420.G	865575	869798	1	1	ERR2224050	100
Pa_1_2430.G	NA	NA	NA	NA	NA	NA
Pa_1_2440.G	873224;873222;873249	874785;874788;874786	3	3	ERR2224048;ERR2224050;ERR2224051	25
Pa_1_2445.G	882361;882543	884510;888273	2	2	ERR2224048;ERR2224051	10
Pa_1_2450.G	888654	892715	1	1	ERR2224047	250
Pa_1_2460.G	NA	NA	NA	NA	NA	NA
Pa_1_2470.G	895857	899971	1	1	ERR2224047	100
Pa_1_2480.G	901732	900159	1	1	ERR2224050	1000
Pa_1_2490.G	903324	901927	1	1	SRR6960212	1000
Pa_1_2495.G	905200	904288	1	1	ERR2224050	250
Pa_1_2500.G	906513;906505	907754;907754	2	1	SRR3197704;SRR3197710	500
Pa_1_2510.G	909930	908020	1	1	ERR2224051	25
Pa_1_2520.G	912162	910240	1	1	ERR2224051	50
Pa_1_2530.G	912373	913277	1	1	SRR3197710	1000
Pa_1_2540.G	914804	913289	1	1	SRR6960219	50
Pa_1_2550.G	918363	914853	1	1	ERR2224050	100
Pa_1_2560.G	918491	919256	1	1	ERR2224050	500
Pa_1_2570.G	921989;921452;921373	925091;925107;925187	3	3	ERR2224048;SRR6960209;SRR6960217	50
Pa_1_2580.G	926886;926886;926886	925298;925298;925252	1	2	SRR6960212;SRR6960223;SRR6960225	1000
Pa_1_2590.G	927805	929391	1	1	SRR3197704	75
Pa_1_2600.G	932227	929903	1	1	SRR6960217	75
Pa_1_2610.G	932436	937140	1	1	ERR2224050	100
Pa_1_2620.G	NA	NA	NA	NA	NA	NA
Pa_1_2630.G	939517;939529;939549;939518;939534	938338;938342;938338;938335;938327	5	4	SRR6960212;SRR6960213;SRR6960215;SRR6960218;SRR6960223	25
Pa_1_2640.G	NA	NA	NA	NA	NA	NA
Pa_1_2650.G	941950	948499	1	1	ERR2224050	75
Pa_1_2653.G	951110	950181	1	1	ERR2224051	10
Pa_1_2656.G	NA	NA	NA	NA	NA	NA
Pa_1_2660.G	961331	962150	1	1	ERR2224048	2500
Pa_1_2665.G	965274	963907	1	1	SRR6960221	75
Pa_1_2670.G	NA	NA	NA	NA	NA	NA
Pa_1_2680.G	969849	971572	1	1	ERR2224050	1000
